h,Low(Eur/MWh),High(Eur/MWh),Last(Eur/MWh),Weight. Avg.(Eur/MWh),Index(Eur/MWh),ID₃-Price(Eur/MWh),ID₁-Price(Eur/MWh),Buy Vol(MW),Sell Vol(MW)
00 - 01,20,62.4,30,42.59,42.59,43.71,41.61,3403.6,3495.6
01 - 02,36.5,67.79,43,43.46,43.46,43.31,40.83,3559.6,3911
02 - 03,32.5,62,45,41.02,41.02,40.34,37.89,4021.1,3430.6
03 - 04,30,49.39,32,40.65,40.65,40.62,38.57,4017.7,3412.3
04 - 05,30,50.99,44,41.95,41.95,41.5,40.41,2989.6,2813.3
05 - 06,40,60,60,44.81,44.81,43.75,48.9,3766.4,3433.1
06 - 07,20,62.4,48.93,50.34,50.34,50.76,49.73,2875.7,2203.9
07 - 08,50,72.4,55,59.12,59.12,58.49,55.47,2436.1,2671.7
08 - 09,52,73.7,69.96,59.87,59.87,58.73,59.04,3697.1,3350.9
09 - 10,50.25,70.9,59,59.53,59.53,59.32,61.13,4360.6,3604.4
10 - 11,37.5,70,50,58.73,58.73,59.21,59.87,4937.2,4249.5
11 - 12,42,65.8,50.99,58.37,58.37,58.71,57.21,4702.9,3810
12 - 13,15.01,62.3,45.1,54.49,54.49,54.38,50.32,4619.3,3461
13 - 14,44.5,70.2,49.5,53.53,53.53,52.32,51.63,4886.3,3687.4
14 - 15,40,59,59,51.93,51.93,50.52,49.04,5214.4,4427.6
15 - 16,35,59.8,35,49.59,49.6,49.45,47.75,5754.9,4626.5
16 - 17,37.01,60.7,43.5,49.36,49.36,49.72,48.86,6559.2,6263.5
17 - 18,35,67.7,49.5,53.88,53.88,53.13,51.83,5518.2,5878.3
18 - 19,38,74.6,58.99,60.83,60.84,61.8,64.87,6345,5988.6
19 - 20,52.6,72.9,55,62.81,62.81,62.84,61.88,5762.1,4990.9
20 - 21,45.66,72.2,54.35,62.34,62.34,62.56,62.01,4472.5,4456.7
21 - 22,42,78.59,45.1,61,61,60.96,59.72,4343.9,4390.9
22 - 23,47.7,77.99,53.5,59.69,59.69,58.21,55.57,3759.7,3714.3
23 - 24,40.01,59.8,43,50.28,50.28,49.81,47.72,5312.2,4726.8
00 - 01,39.71,56.6,46,45.36,45.36,45.2,45.88,3109.4,2728.8
01 - 02,41.93,62.7,48,46.69,46.69,46.33,51.39,3827.5,2962.2
02 - 03,4.9,49,40.2,45.01,45.01,45.4,46.09,3004.4,2280.9
03 - 04,40,54,45.12,44.86,44.86,45.25,47.4,3029.3,2234.5
04 - 05,40,47.37,46.99,44.89,44.89,45.31,45.47,2758.1,2086.6
05 - 06,40,48.99,41.51,45.63,45.63,45.81,45.98,2416.2,1960.6
06 - 07,27.2,58.3,43,51.15,51.15,52.27,49.93,2725.5,2652.3
07 - 08,25,64.2,52,59.6,59.6,60.36,55.2,2667.1,2809
08 - 09,10,65.1,61.4,58.19,58.19,62.81,60.45,3273.7,3331.2
09 - 10,12,80,65,57.3,57.3,60.41,60.89,3633.9,3133.2
10 - 11,40.1,74.79,71,63.7,63.7,63.33,66.43,4490.7,4581
11 - 12,48.01,74.9,62,63.08,63.08,63.19,65.14,4865.6,5277.4
12 - 13,54,65.16,57,61.24,61.24,61.99,60.9,4809.6,5212
13 - 14,42.2,63.7,53,59.24,59.24,59.87,57.24,4199.1,4532.2
14 - 15,38.51,69.99,60.5,59.06,59.06,59.36,60.87,4336.8,4263.1
15 - 16,42.61,69.99,60,59.61,59.61,60.08,60.1,4736.2,4753.7
16 - 17,49.2,65.8,58,60.08,60.08,60.76,59.74,3899.4,4377.3
17 - 18,59.2,70.4,65,66.77,66.77,67.31,68.37,5050.1,5661.6
18 - 19,19.8,77,59.99,66.1,66.1,68.19,69.62,4867,5213.6
19 - 20,41.2,80,58,67.65,67.65,68.25,71.22,4536.8,4646.3
20 - 21,55,91,71.2,69.42,69.42,70.91,77.76,5209.2,5384.6
21 - 22,55.6,71.8,67.95,67.01,67.01,68.15,69.84,4576.1,4963.7
22 - 23,58.7,116.4,69.99,65.86,65.86,66.87,68.51,4379.7,4925.7
23 - 24,36,81.58,81.58,56.59,56.59,56.63,58.48,3540.5,3642.7
00 - 01,42,66,60,53.65,53.65,53.36,58.62,1960.3,2162.4
01 - 02,37.02,64,37.02,49.42,49.42,49.79,50.13,2432.8,2266.9
02 - 03,38,63,38,47.25,47.25,47.06,45.43,2488.3,2521.9
03 - 04,30,49,39.9,44.34,44.34,45.23,45.04,2459.9,2533.8
04 - 05,40,51.5,48,44.81,44.81,44.31,44.55,2613.3,2599
05 - 06,41,58,49,47.47,47.47,47.86,52.37,2772.9,2874.8
06 - 07,50,88.6,63.01,58.06,58.06,58.32,68.21,2911,2735.4
07 - 08,53.3,75.5,65,64.19,64.19,64.97,68.34,3321.5,3156.3
08 - 09,54,70.9,63,67.55,67.56,67.86,67.97,3736.8,3973.3
09 - 10,52.69,73,73,67.45,67.45,68.39,70.34,3672,4276.1
10 - 11,49,70.29,60,66.27,66.27,67.43,66.88,4716.9,4695.8
11 - 12,59.1,80,75,67.93,67.93,67.81,69.67,4913.3,4769.6
12 - 13,50.11,71.1,62.9,67.68,67.68,67.86,69.85,4933.2,4203.6
13 - 14,45,72.9,50,65.93,65.93,66.81,65.42,4995.4,4404.9
14 - 15,55,79.6,55,64.19,64.2,64.42,64.02,5374.8,4955.9
15 - 16,42,66.9,45.5,63.47,63.48,63.63,58.89,5458.2,5118.6
16 - 17,61,81.38,72.5,66.03,66.04,65.55,70.62,5121.3,4784
17 - 18,51,96.8,73.5,72.45,72.45,73.45,78.88,4733.2,4265.4
18 - 19,61,97.89,91,76.16,76.16,77.32,86.05,5984.1,4274.4
19 - 20,63.9,94.6,69.91,77.53,77.53,81.97,85.34,6170.6,4548.8
20 - 21,55.31,98,72,77.39,77.39,81.65,88.93,6571.1,5196.2
21 - 22,54,120.1,100,80.97,80.97,85.8,104.96,5391.8,4554.2
22 - 23,55,100,93.01,80.32,80.32,83.87,87.77,7702.4,5693.3
23 - 24,51.55,71.64,62.3,63.19,63.19,63.53,60.4,4871.2,4537.4
00 - 01,50.5,89.9,75.29,60.16,60.16,60.42,71.63,2717.9,2474.2
01 - 02,45.14,60.4,53.38,53.5,53.5,54.43,54.87,2445.5,2198.5
02 - 03,49.9,74.97,60,54.08,54.08,54.12,56.14,2274.5,2430.2
03 - 04,49.14,58,56,52.95,52.95,53.51,55.41,2124.8,2206.8
04 - 05,49.28,57.5,49.5,53.69,53.69,54.29,54.89,2558.1,2475.9
05 - 06,48,82.4,59,56.18,56.18,57.9,60.67,2998.6,2920.3
06 - 07,52,69,65,62.43,62.43,62.86,63.32,3043.6,3547.2
07 - 08,40,73.89,45,64.06,64.06,63.1,56.96,3241.2,3067.1
08 - 09,40.12,74.98,48,63.68,63.68,63.81,59.07,3782.7,3519.7
09 - 10,52,74,66.6,65.62,65.62,64.98,67.49,3421.8,4441
10 - 11,54,75.13,60,67,67,66.85,70.43,4419.3,5463.9
11 - 12,52,73,57.01,64.81,64.81,65.09,61.73,4065.4,4120.1
12 - 13,41.8,68.35,58.6,63.85,63.85,64.32,64.56,4403.8,3957.8
13 - 14,39.9,65.8,63,61.59,61.59,61.4,58.67,4175.2,3842.7
14 - 15,36.31,70.5,70,60.75,60.75,59.4,58.84,4374.2,3983.5
15 - 16,58,80,74,64.03,64.03,62.47,68.14,4541.5,4185.6
16 - 17,61,148.99,130,71.02,71.03,66.53,68.03,6011.9,5802.5
17 - 18,40,79.69,66.5,72.44,72.45,73.59,74.61,9332.3,7605.9
18 - 19,42,250,250,86.13,86.13,82.79,89.84,7736.3,7839.1
19 - 20,-24.1,720,700,114.69,114.69,118.03,207.92,9602.5,8898.9
20 - 21,46.6,659.99,500,167.6,167.6,180.46,387.85,8668,7717.3
21 - 22,54.1,339,133,127.3,127.3,156.69,223.56,10331.8,9704.5
22 - 23,51.8,210,72,114.01,114.01,136.21,154.52,8959.5,7841
23 - 24,20.01,99,51,75.05,75.06,75.81,57.96,8998.4,10123.1
00 - 01,52.1,99.99,62,60.1,60.1,60.15,60.25,4127.5,4436.2
01 - 02,50.5,60.1,59,55.83,55.83,56.3,55.22,4132.9,3565.9
02 - 03,45.17,63.79,47,54.35,54.35,54.92,54.58,4160.4,3184.2
03 - 04,46.08,58.4,53.19,53.42,53.42,53.22,52.91,3630.4,3291.4
04 - 05,25,64,44.2,52.27,52.27,53.54,57.84,3160.3,3032.9
05 - 06,42.1,58.5,52,52.19,52.19,52.84,46.4,2911.5,3504.3
06 - 07,48.02,65,51,53.63,53.63,54.2,54.16,2319.5,3188.4
07 - 08,48.3,65,57.01,56.95,56.95,57.55,55.63,2594.5,3455.3
08 - 09,54.6,79.99,60,61.19,61.19,62.14,67.09,2918.8,3476
09 - 10,55.93,70,60,62.91,62.92,63.58,65.54,3622,4451.8
10 - 11,30.1,64,40.01,58.78,58.78,59.86,55.46,4296.6,4461.3
11 - 12,39,63.2,40,56.11,56.11,55.39,48.03,4592.3,4328.7
12 - 13,40,67.4,55.6,54.53,54.53,53.13,54.57,4877.8,4781.5
13 - 14,36.01,59.5,44.6,50.55,50.55,48.13,46.81,5949.7,5396.6
14 - 15,45.29,69.5,69.5,51.78,51.78,49.87,52.51,5691.5,5508.3
15 - 16,44.01,63,62,52.46,52.46,51.7,52.39,7622.2,6281.5
16 - 17,42,57.99,42,52.81,52.81,52.83,53.33,8906.7,6306.8
17 - 18,9.7,60,29.43,53.46,53.46,53.2,50.79,7866.4,5859.8
18 - 19,47.8,76.29,75,61.52,61.52,61.24,67.57,6562.1,6169.1
19 - 20,51.3,80,70,64.99,64.99,65.47,72.02,7236.7,6933.4
20 - 21,40,70.2,56.66,61.74,61.74,62.14,53.47,6343.8,5598.2
21 - 22,48.1,87,80.9,62.72,62.72,62.73,72.82,5726.4,4902.9
22 - 23,52.6,88.49,73,63.07,63.07,63.15,65.04,5653.8,4617.4
23 - 24,26.21,65.5,45,55.99,55.99,55.33,49.09,7044.2,4599.6
00 - 01,30,53.5,46.99,47.95,47.95,48.14,46.61,3289.2,2421.5
01 - 02,30,51.7,30,45.42,45.42,45.3,43.85,2906.9,2773.1
02 - 03,20,52,44.7,45.02,45.02,44.49,45.16,3217.7,3028.1
03 - 04,36.13,87.8,67.43,44.89,44.89,43.44,42.47,3515.4,3377.3
04 - 05,41.1,59,45.06,44.41,44.41,44.24,46.28,3592.5,3108.5
05 - 06,41.2,85,53,44.71,44.71,45.54,48.52,2936.4,2846.1
06 - 07,40,65,40,45.43,45.43,47.13,50.01,2651.4,2524.3
07 - 08,30,49.99,45,42.91,42.91,41.54,34.91,3740.2,3283.6
08 - 09,35.6,54.4,43.2,44.24,44.24,43.95,42.6,4413.2,3762.8
09 - 10,40,55,43.2,45.75,45.75,45.68,49.1,5037.5,4605.8
10 - 11,30,48.44,40,42.11,42.11,42.25,36.62,5254.7,4393.8
11 - 12,37,55,55,42.12,42.12,41.43,44.45,3877,4461.1
12 - 13,37.2,50,44,42.66,42.66,43.08,45.61,5289.4,5127.1
13 - 14,6,49,15,34.82,34.83,37.83,34.43,5074.7,5063.2
14 - 15,1,44.22,17,23.92,23.92,21.92,12.68,5373,5466.9
15 - 16,18.1,51.2,40,31.06,31.06,28.62,26.63,4709.6,4702.1
16 - 17,0,51.5,0,33.54,33.54,34.41,25.96,5083.8,4736.8
17 - 18,31.5,85.4,42,40.32,40.32,39.95,34.93,4315.5,4524.6
18 - 19,38,90,70.2,53.66,53.66,50.86,54.73,6058.9,5339.6
19 - 20,40,99,60,63.76,63.76,63.94,69.76,5388.5,5407.4
20 - 21,59.5,78,63,65.21,65.21,65.36,68.95,4490.2,5236.8
21 - 22,58.4,99,85,68.41,68.42,68.15,73.38,3935.7,5171.8
22 - 23,50,107.5,78,68.03,68.03,69.4,71.59,4062.7,4146.1
23 - 24,0,72.6,28.99,46.03,46.03,49.57,40.65,4424.7,4520.5
00 - 01,35.1,85.2,55.1,47.47,47.47,47.85,46.52,2924.8,3201
01 - 02,41,60,52,46.43,46.43,46.21,42.97,2753,2145.7
02 - 03,35,58,48.3,46.26,46.26,46.66,47.49,2841.8,2393.2
03 - 04,36.5,48.8,46.69,44.75,44.75,44.48,39.54,2736.6,2095.8
04 - 05,37,47.8,40,44.17,44.17,43.89,38.56,2440.7,2098.2
05 - 06,40,50,46,45.66,45.66,45.75,46.29,2274.6,1853.7
06 - 07,43,70.2,61,57.54,57.54,57.43,49.62,2026.5,1731.4
07 - 08,29,72.1,42.5,64.05,64.05,65.21,52.08,3644.8,3099.9
08 - 09,42,70.71,48,62.31,62.31,62.41,49.53,4257.3,3840.1
09 - 10,43,71.9,46,61.1,61.1,60.89,55.73,4981.2,4950.2
10 - 11,55.3,70,57,62.02,62.02,61,58.09,4625.4,4157.4
11 - 12,29.31,66.45,43,57.94,57.94,56.81,51.64,4309.3,4060.3
12 - 13,51.72,80,73.4,61.36,61.36,58.77,57.35,5947.2,5336.3
13 - 14,45,66.8,64.7,59.99,59.99,60.59,58.89,5649.7,4765.8
14 - 15,4,68,48.7,61.52,61.52,63.55,62.15,5297.6,5029.8
15 - 16,27.3,98,55,60.89,60.89,61.32,49.88,4576.6,4871.4
16 - 17,48.3,72,48.3,65.76,65.77,64.75,61.96,5104,5378.4
17 - 18,40,77.9,40,68.42,68.42,68.26,59.11,4781.9,5438.6
18 - 19,63.01,86.59,67,78.21,78.22,78.73,74.83,5781.7,6098.3
19 - 20,50.01,89.9,79,85.01,85.01,84.54,73.97,4856.9,5469.3
20 - 21,68.75,300,300,90.48,90.48,84.21,108.44,6655.2,6763
21 - 22,49.01,138,61,83.8,83.8,86.75,116.19,6324.1,5548.8
22 - 23,50.1,97,55.1,74.22,74.22,72.86,68.38,6747.7,5306.9
23 - 24,38.48,71.87,54,62.98,62.98,59.71,49.68,5389.9,4704.5
00 - 01,50,82,67.1,62.86,62.86,62.96,69.7,2316.9,1968.5
01 - 02,48,81.53,70,56.43,56.43,56,58.46,2259.2,2449.4
02 - 03,44.5,66.13,60,55.33,55.33,55.81,59.23,2952.7,2723.6
03 - 04,1.32,65,65,53.98,53.98,54.89,58.45,3159,2269.6
04 - 05,40,60,55,53.27,53.27,53.74,53.03,2471.4,2166.4
05 - 06,34.2,70.6,61,57.12,57.12,57.8,58.59,2313.1,2242.9
06 - 07,29.9,71.1,60,62.29,62.29,62.92,62.84,2232,1781
07 - 08,50.5,76,63,66.91,66.91,66.54,63.83,2958.4,3015.9
08 - 09,46.31,77.3,63,67.33,67.33,68.02,67.96,3481.6,3439.8
09 - 10,29.2,75.5,67,66.13,66.13,67.69,62.8,3887.2,3752.4
10 - 11,5,108.5,82.5,70.39,70.39,71.07,75.54,5518.3,5134.7
11 - 12,10,77.4,67.1,68.05,68.05,70.29,71.39,7460.8,6270.2
12 - 13,55.05,79,69,69.51,69.51,70.03,71.18,6215.1,5641.9
13 - 14,60,76.1,63,69.97,69.97,70.77,74.7,6275.3,5528.7
14 - 15,45,71.5,52.5,68.19,68.19,68.6,63.21,6051.6,4751.3
15 - 16,58.7,75,75,69.32,69.32,68.7,69.33,6910.4,6464.8
16 - 17,51,78.3,60,69.28,69.28,69.58,71.34,6763.8,5859.7
17 - 18,53.5,85.98,63,69.91,69.91,69.13,62.74,6733.2,6602
18 - 19,59.2,86.6,66,76.1,76.1,75.15,68.44,6475.2,6824.1
19 - 20,40,88,40,75.88,75.89,73.14,65.13,6096.3,6680.2
20 - 21,22.67,84.8,40,70.51,70.51,67.4,60.11,5874.6,6443.2
21 - 22,28,87.51,65,67.04,67.04,64.95,61.86,4794,5590
22 - 23,10,71.7,10,60.39,60.39,59.31,50.49,4045.8,5075.4
23 - 24,20,55,39.99,46.53,46.53,43.93,35.49,5543.6,6085.4
00 - 01,-1.9,54.8,-1.9,46.49,46.49,46.42,45.19,3539.9,3538.4
01 - 02,40.1,70,60,46.21,46.21,45.46,43.06,3607.3,3782.7
02 - 03,41.2,98.99,80,48.07,48.07,47.83,56.62,4080.5,3983.7
03 - 04,38,84.4,84.4,48.05,48.05,46.99,50.82,4636.7,4150.4
04 - 05,-64,50.66,30,43.32,43.32,45.1,43.92,5287.7,4884
05 - 06,-57.9,48.8,40,43,43,42.58,39.35,3447.3,4052.2
06 - 07,-6.76,58.99,55.01,46.8,46.8,45.4,41.86,4277.1,4405.2
07 - 08,10,87.7,44,56,56,55.35,59.79,4486.9,4963
08 - 09,20.1,79.79,57.6,63.35,63.35,66.11,73.1,6005.2,5539.3
09 - 10,38.3,149,92,69.49,69.49,67.11,70.85,6942.5,6685.2
10 - 11,53.17,100,78.01,64.67,64.67,62.7,73.32,7581.5,6930.5
11 - 12,36,67,45,55.84,55.84,57.78,50.19,8447.8,7659.6
12 - 13,42.5,93.99,80,57.6,57.6,54.14,59.55,7773.9,7552.3
13 - 14,38,67,59.6,46.26,46.26,45.59,41.56,7714.3,7221.8
14 - 15,-57.99,67,36.5,46.83,46.83,48,50.17,6324.5,5654.1
15 - 16,25,60.8,31,43.49,43.49,43.68,39.67,8082.9,8369.2
16 - 17,-4.98,61.9,10,38.77,38.77,39.38,29.5,8298.3,10700.6
17 - 18,36.5,70,40,46.56,46.56,44.53,41.79,8845.7,11239.7
18 - 19,21.01,67.05,45.9,53.27,53.27,51.48,44.23,6852.5,9297.6
19 - 20,20,70,60.1,56.31,56.31,55.42,48.46,7233.4,9722.7
20 - 21,40.4,78,70,58.41,58.41,56.87,57.27,5922.1,8560.6
21 - 22,33.1,97.99,73,61.77,61.77,61.64,65.91,5880.2,6232.3
22 - 23,28,71,41.5,60.45,60.45,61.39,60.99,5828.1,5576.8
23 - 24,22,71,44,51.03,51.03,48.83,41.23,4464.8,6063.6
00 - 01,30,55,42.01,46.33,46.33,46.21,43.45,2173.3,2489.7
01 - 02,33.01,52.8,37.01,45.23,45.23,45.12,44.09,2611.6,2833
02 - 03,35,51.1,39.8,44.54,44.54,44.32,43.46,2136.7,2473.1
03 - 04,40,52.9,45,44.9,44.9,44.28,44.5,1957.8,2052.8
04 - 05,43.01,55,52,45.32,45.32,44.95,46.52,1957.8,1710.5
05 - 06,30.01,65.3,37.5,46.01,46.01,45.44,47.17,1744.7,1772.7
06 - 07,24.21,68.4,27,50.44,50.44,51.23,46.03,1128.3,1442.3
07 - 08,43,69.3,43,56.69,56.69,56.8,51.39,1918.5,2179.4
08 - 09,46.2,70.1,58.82,58.07,58.07,57.52,52.36,3522.7,3994.7
09 - 10,46.02,70.5,58.78,58.16,58.16,58.17,57.62,4292.3,4979.6
10 - 11,40,70.1,50,57.35,57.35,57.16,50.04,5507.3,6302.6
11 - 12,37.51,69.6,50.6,56.28,56.29,55.1,52.87,5739.6,6950.5
12 - 13,18.02,67.8,22,52.71,52.71,53.79,52.33,6184.9,7115.9
13 - 14,44.01,63,48,51.38,51.38,50.99,50.11,6234.5,6672.1
14 - 15,20,64.99,40,48.24,48.24,49.45,51.33,7663.7,8617.3
15 - 16,25,55,30,46.37,46.37,47.17,47.13,9880.5,9745.8
16 - 17,40,59.9,45.9,47.06,47.06,47.88,52.4,8657.7,9119
17 - 18,25.05,56.5,26,46.61,46.61,48.32,48.48,8609.7,8990
18 - 19,34.01,61.8,50,47.17,47.17,47.18,45.99,10903.8,12188.7
19 - 20,16.21,68,16.21,47.34,47.34,47,44.26,11255,13008.3
20 - 21,25,139.7,39.9,44.14,44.14,43.64,39.05,11228.5,12400.6
21 - 22,40,62,62,46.74,46.74,47.22,50.85,10657.6,10545.9
22 - 23,32,59.99,46.51,45.16,45.16,46.65,42.18,7593.9,7462.8
23 - 24,10.01,69.9,30,34.65,34.66,31.54,31.01,6791.8,7045.2
00 - 01,0,48,26,17.58,17.58,14.7,9.72,3848.6,4106.9
01 - 02,-9.77,50,23.9,18.26,18.26,15.8,18.19,4319.3,4251.5
02 - 03,5,45,29.99,18.09,18.09,17.11,13.03,4608.1,4587
03 - 04,5,45,22,17.79,17.79,19.81,21.11,4495.5,4086.3
04 - 05,8,55,45,25.09,25.09,25.61,34.47,4312.3,3827.6
05 - 06,12,54,27.5,29.22,29.22,31.82,31.66,4240.6,3315.2
06 - 07,36.1,85,75,49.07,49.07,47.63,55.22,4364.4,4323.2
07 - 08,41.5,77.96,69,53.52,53.52,53.98,56.94,4754.6,4197.3
08 - 09,47,138,70,59.2,59.2,58.3,63.03,5712.3,5479.1
09 - 10,37,75,40.17,58.77,58.78,59.55,61.5,6857.9,6414.5
10 - 11,2,63,10,52.07,52.07,53.98,43.43,7789.8,6862
11 - 12,10.1,65,29,50.29,50.29,50.16,48.2,6970.3,6835
12 - 13,30,63.8,35,44.82,44.82,43.04,36.84,7602.8,7959.8
13 - 14,5,64,13,39.73,39.73,38.91,33.23,6161.6,6482.8
